cardNumber,cardHolderId,expirationDate
0000000001,c-0000001,2025-12-31
0000000002,c-0000002,2025-08-15
0000000003,c-0000004,2026-11-20
0000000004,c-0000007,2026-05-07
0000000005,c-0000008,2027-03-14
0000000006,c-0000010,2027-07-22
0000000007,c-0000014,2024-09-09
0000000008,c-0000016,2024-12-12
0000000009,c-0000017,2028-01-01
0000000010,c-0000018,2028-03-23
0000000011,c-0000020,2028-06-17
0000000012,c-0000021,2026-10-10
0000000013,c-0000025,2024-12-25
0000000014,c-0000028,2023-07-19
0000000015,c-0000003,2023-05-22
0000000016,c-0000009,2027-11-11
0000000017,c-0000011,2028-08-15
0000000018,c-0000012,2025-09-17
0000000019,c-0000013,2026-07-20
0000000020,c-0000015,2025-10-05
0000000021,c-0000022,2027-09-25
0000000022,c-0000023,2024-12-20
0000000023,c-0000026,2025-11-11
0000000024,c-0000027,2026-03-30
0000000025,c-0000006,2024-06-19
